id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos,leagues.utah.jersey,leagues.utah.active,leagues.utah.pos,leagues.sacramento.jersey,leagues.sacramento.active,leagues.sacramento.pos
383,Jamal,Murray,Kentucky,Kentucky/Canada,1997-02-23,Canada,2016,5,6,3,1.9,215,97.5,27.0,True,G,,,,,,,,,
1055,Amida,Brimah,Connecticut,Connecticut/USA,1994-02-11,USA,2020,1,6,10,2.08,230,104.3,37.0,True,C,37.0,True,C,37.0,True,C,,,
1014,Michael,Porter Jr.,Missouri,Missouri/USA,1998-06-29,USA,2019,2,6,10,2.08,218,98.9,1.0,True,F,1.0,True,F,,,,,,
2627,Zeke,Nnaji,Arizona,Arizona/USA,2001-01-09,USA,2020,1,6,9,2.06,240,108.9,22.0,True,F-C,22.0,True,F,,,,,,
3091,Braxton,Key,Virginia,Virginia/USA,1997-02-14,USA,2021,0,6,8,2.03,225,102.1,8.0,True,F,8.0,True,F,,,,,,
2814,Jay,Huff,Virginia,Virginia/USA,1997-08-25,USA,2021,0,,,,,,30.0,True,F,30.0,True,C,,,,30.0,True,C
2840,Jamorko,Pickett,Georgetown,Georgetown/USA,1997-12-24,USA,2021,0,6,9,2.06,206,93.4,24.0,True,F,45.0,True,F,,,,,,
3420,Christian,Braun,,,,,0,0,,,,,,,True,G,,True,F,,,,,,
3498,Peyton,Watson,,,,,0,0,,,,,,8.0,True,G,8.0,True,F,,,,,,
3441,Collin,Gillespie,,,,,0,0,,,,,,21.0,True,G,21.0,True,G,,,,,,
3963,Armaan,Franklin,Virginia,,,,0,0,6,,,195,,,True,G,,,,,,,,,
3964,Andrew,Funk,Penn State,,,,0,0,6,,,188,,,True,G,,,,,,,,,
3965,Jalen,Pickett,Siena,,,,0,0,6,,,202,,,True,G,,,,,,,,,
3966,Julian,Strawther,Gonzaga,,,,0,0,6,,,205,,,True,G,,,,,,,,,
3967,Hunter,Tyson,Clemson,,,,0,0,6,,,215,,,True,F,,,,,,,,,
4070,A.,Toney,,,,,0,0,,,,,,,True,G,,,,,,,,,
286,DeAndre,Jordan,Texas A&M,Texas A&M/USA,1988-07-21,USA,2008,13,6,11,2.11,265,120.2,6.0,True,C,,,,,,,,,
264,Reggie,Jackson,Boston College,Boston College/USA,1990-04-16,USA,2011,10,6,2,1.88,208,94.3,1.0,True,G,,,,,,,,,
243,Justin,Holiday,Washington,Washington/USA,1989-04-05,USA,2012,8,6,6,1.98,180,81.6,9.0,True,F-G,,,,,,,,,
89,Kentavious,Caldwell-Pope,Georgia,Georgia/USA,1993-02-18,USA,2013,8,6,5,1.96,204,92.5,5.0,True,G,,,,,,,,,
195,Aaron,Gordon,Arizona,Arizona/USA,1995-09-16,USA,2014,7,6,8,2.03,235,106.6,50.0,True,F,,,,,,,,,
279,Nikola,Jokic,Mega Basket,Mega Basket/Serbia,1995-02-19,Serbia,2015,6,6,11,2.11,284,128.8,15.0,True,C,,,,,,,,,
