id,firstname,lastname,college,affiliation,birth.date,birth.country,nba.start,nba.pro,height.feets,height.inches,height.meters,weight.pounds,weight.kilograms,leagues.standard.jersey,leagues.standard.active,leagues.standard.pos,leagues.vegas.jersey,leagues.vegas.active,leagues.vegas.pos,leagues.utah.jersey,leagues.utah.active,leagues.utah.pos,leagues.africa.jersey,leagues.africa.active,leagues.africa.pos
972,Shai,Gilgeous-Alexander,Kentucky,Kentucky/Canada,1998-07-12,Canada,2018,3,6,6,1.98,180,81.6,2.0,True,G,2.0,True,G,,,,,,
1044,Kenrich,Williams,TCU,TCU/USA,1994-12-02,USA,2018,3,6,6,1.98,210,95.3,34.0,True,G-F,34.0,True,F,,,,,,
2040,Luguentz,Dort,,,,,0,0,,,,,,5.0,True,G,14.0,True,G,,,,,,
2633,Aleksej,Pokusevski,Olympiacos,Olympiacos/Serbia,2001-12-26,Serbia,2020,1,7,0,2.13,190,86.2,17.0,True,F,17.0,True,F,17.0,True,F,,,
2604,Isaiah,Joe,Arkansas,Arkansas/USA,1999-07-02,USA,2020,1,6,4,1.93,165,74.8,7.0,True,G,7.0,True,G,7.0,True,G,,,
3404,Lindy,Waters III,Oklahoma State,Oklahoma State/USA,1997-07-28,USA,2021,0,6,6,1.98,215,97.5,12.0,True,F,12.0,True,G,12.0,True,G,,,
2846,Jeremiah,Robinson-Earl,Villanova,Villanova/USA,2000-11-03,USA,2021,0,6,8,2.03,242,109.8,50.0,True,F,50.0,True,F,50.0,True,F,,,
2831,Tre,Mann,Florida,Florida/USA,2001-02-03,USA,2021,0,6,3,1.9,178,80.7,23.0,True,G,23.0,True,G,23.0,True,G,,,
2808,Josh,Giddey,NBA Global Academy,NBA Global Academy/Australia,2002-10-10,Australia,2021,0,6,8,2.03,205,93.0,3.0,True,G,3.0,True,G,3.0,True,G,,,
2863,Aaron,Wiggins,Maryland,Maryland/USA,1999-01-02,USA,2021,0,6,4,1.93,190,86.2,21.0,True,G,21.0,True,G,21.0,True,G,,,
3399,Olivier,Sarr,Kentucky,Kentucky/France,1999-02-20,France,2021,0,,,,,,30.0,True,C,30.0,True,C,,,,,,
3448,Chet,Holmgren,,,,,0,0,,,,,,7.0,True,C-F,7.0,True,F-C,7.0,True,F-C,,,
3504,Jalen,Williams,,,,,0,0,,,,,,8.0,True,G-F,8.0,True,G,8.0,True,G,,,
3505,Jaylin,Williams,,,,,0,0,,,,,,6.0,True,F,6.0,True,F,6.0,True,F,,,
3432,Ousmane,Dieng,,,,,0,0,,,,,,13.0,True,F,13.0,True,F,13.0,True,F,,,
3501,Jack,White,,,,,0,0,,,,,,10.0,True,F,41.0,True,F,,,,,,
4008,Keyontae,Johnson,Kansas State,,,,0,0,6,,,235,,18.0,True,F,,,,,,,,,
4009,Cason,Wallace,Kentucky,,,,0,0,6,,,193,,22.0,True,G,,,,,,,,,
4084,A.,Flagler,,,,,0,0,,,,,,,True,F,,,,,,,,,
227,Gordon,Hayward,Butler,Butler/USA,1990-03-23,USA,2010,11,6,7,2.01,225,102.1,20.0,True,F,,,,,,,,,
54,Bismack,Biyombo,Baloncesto Fuenlabrada,Baloncesto Fuenlabrada/DRC,1992-08-28,DRC,2011,10,6,8,2.03,255,115.7,18.0,True,C,,,,,,,,True,C
52,Davis,Bertans,Baskonia,Baskonia/Latvia,1992-11-12,Latvia,2016,5,6,10,2.08,225,102.1,44.0,True,F,,,,,,,,,
384,Mike,Muscala,Bucknell,Bucknell/USA,1991-07-01,USA,2013,8,6,10,2.08,240,108.9,33.0,True,F-C,,,,,,,,,
2739,Vasilije,Micic,,,,,0,0,,,,,,,True,G,,,,,,,,,
